zip,year,est total,est gen,est cold,est farm,est other
91752,2012,31,28,2,0,1
90250,2012,2,2,0,0,0
94014,2012,0,0,0,0,0
93268,2012,1,1,0,0,0
95209,2012,0,0,0,0,0
92553,2012,0,0,0,0,0
94534,2012,4,4,0,0,0
95926,2012,0,0,0,0,0
93653,2012,0,0,0,0,0
94704,2012,0,0,0,0,0
94305,2012,0,0,0,0,0
95762,2012,0,0,0,0,0
95692,2012,0,0,0,0,0
90603,2012,1,1,0,0,0
94304,2012,0,0,0,0,0
95301,2012,0,0,0,0,0
95672,2012,0,0,0,0,0
92284,2012,0,0,0,0,0
94061,2012,0,0,0,0,0
93065,2012,1,1,0,0,0
92831,2012,1,1,0,0,0
92832,2012,0,0,0,0,0
93311,2012,1,0,0,1,0
95003,2012,0,0,0,0,0
95939,2012,0,0,0,0,0
93242,2012,0,0,0,0,0
91020,2012,0,0,0,0,0
90703,2012,6,4,0,0,2
95816,2012,0,0,0,0,0
94708,2012,0,0,0,0,0
95446,2012,0,0,0,0,0
92688,2012,0,0,0,0,0
94705,2012,0,0,0,0,0
92562,2012,0,0,0,0,0
95466,2012,0,0,0,0,0
94108,2012,1,1,0,0,0
92336,2012,6,6,0,0,0
95815,2012,4,4,0,0,0
95823,2012,3,2,1,0,0
94601,2012,2,2,0,0,0
92134,2012,0,0,0,0,0
91042,2012,0,0,0,0,0
91306,2012,0,0,0,0,0
91303,2012,0,0,0,0,0
95148,2012,1,1,0,0,0
94127,2012,0,0,0,0,0
95370,2012,0,0,0,0,0
95568,2012,0,0,0,0,0
93109,2012,0,0,0,0,0
90272,2012,0,0,0,0,0
94080,2012,7,5,1,0,1
92123,2012,5,1,0,0,4
91504,2012,1,1,0,0,0
94024,2012,0,0,0,0,0
92625,2012,0,0,0,0,0
92586,2012,1,0,0,0,1
91737,2012,0,0,0,0,0
95938,2012,0,0,0,0,0
95830,2012,0,0,0,0,0
93442,2012,0,0,0,0,0
92111,2012,1,1,0,0,0
95570,2012,0,0,0,0,0
95837,2012,0,0,0,0,0
96058,2012,0,0,0,0,0
95220,2012,0,0,0,0,0
95340,2012,3,3,0,0,0
93101,2012,0,0,0,0,0
95620,2012,0,0,0,0,0
95409,2012,0,0,0,0,0
95722,2012,0,0,0,0,0
93725,2012,12,6,1,3,2
93637,2012,2,0,1,0,1
96130,2012,0,0,0,0,0
