zip,year,est total,est gen,est cold,est farm,est other
514,91042,2014,0,0,0,0,0
515,91306,2014,0,0,0,0,0
516,91303,2014,0,0,0,0,0
517,95148,2014,0,0,0,0,0
518,94127,2014,0,0,0,0,0
519,95370,2014,0,0,0,0,0
520,95568,2014,0,0,0,0,0
521,93109,2014,0,0,0,0,0
522,90272,2014,0,0,0,0,0
523,94080,2014,9,6,1,0,2
524,92123,2014,3,1,0,0,2
525,91504,2014,1,1,0,0,0
526,94024,2014,0,0,0,0,0
527,92625,2014,0,0,0,0,0
528,92586,2014,1,0,0,0,1
529,91737,2014,0,0,0,0,0
530,95938,2014,0,0,0,0,0
531,95830,2014,0,0,0,0,0
532,93442,2014,0,0,0,0,0
533,92111,2014,3,1,0,0,2
534,95570,2014,0,0,0,0,0
535,95837,2014,0,0,0,0,0
536,96058,2014,0,0,0,0,0
537,95220,2014,0,0,0,0,0
538,95340,2014,2,1,0,0,1
539,93101,2014,0,0,0,0,0
540,95620,2014,0,0,0,0,0
541,95409,2014,0,0,0,0,0
542,95722,2014,0,0,0,0,0
543,93725,2014,12,6,1,3,2
544,93637,2014,0,0,0,0,0
545,96130,2014,0,0,0,0,0
546,92358,2014,0,0,0,0,0
547,92201,2014,1,1,0,0,0
548,93445,2014,0,0,0,0,0
549,93940,2014,1,1,0,0,0
550,93625,2014,2,0,1,1,0
551,92325,2014,0,0,0,0,0
552,90262,2014,2,2,0,0,0
553,90405,2014,0,0,0,0,0
554,95388,2014,0,0,0,0,0
555,91911,2014,4,2,0,0,2
556,94582,2014,0,0,0,0,0
557,90230,2014,0,0,0,0,0
558,93650,2014,0,0,0,0,0
559,92883,2014,2,2,0,0,0
560,94506,2014,0,0,0,0,0
561,93401,2014,1,0,0,0,1
562,91910,2014,0,0,0,0,0
563,94606,2014,3,2,0,1,0
564,96064,2014,0,0,0,0,0
565,92860,2014,0,0,0,0,0
566,95382,2014,0,0,0,0,0
567,91791,2014,0,0,0,0,0
568,95257,2014,0,0,0,0,0
569,93402,2014,0,0,0,0,0
570,95698,2014,0,0,0,0,0
571,91801,2014,0,0,0,0,0
572,92256,2014,0,0,0,0,0
573,90006,2014,1,0,0,0,1
574,96002,2014,1,1,0,0,0
575,92310,2014,0,0,0,0,0
576,93291,2014,10,8,0,0,2
577,95626,2014,0,0,0,0,0
578,95728,2014,0,0,0,0,0
579,92014,2014,0,0,0,0,0
580,94709,2014,0,0,0,0,0
581,93444,2014,2,1,1,0,0
582,90755,2014,1,1,0,0,0
583,95757,2014,0,0,0,0,0
584,93517,2014,0,0,0,0,0
585,92282,2014,0,0,0,0,0
586,90602,2014,1,1,0,0,0
587,91401,2014,0,0,0,0,0
588,91423,2014,0,0,0,0,0
589,95012,2014,2,1,1,0,0
590,92309,2014,0,0,0,0,0
591,95703,2014,0,0,0,0,0
592,95127,2014,1,1,0,0,0
593,90247,2014,0,0,0,0,0
594,94964,2014,0,0,0,0,0
595,90048,2014,0,0,0,0,0
596,91362,2014,1,1,0,0,0
597,92154,2014,23,16,3,0,4
598,95618,2014,2,1,1,0,0
599,94560,2014,5,4,1,0,0
600,96010,2014,0,0,0,0,0
601,95670,2014,1,1,0,0,0
602,92704,2014,4,4,0,0,0
603,94621,2014,6,5,0,1,0
604,90660,2014,13,9,1,0,3
605,93230,2014,2,1,0,1,0
606,92009,2014,0,0,0,0,0
607,90840,2014,0,0,0,0,0
608,93654,2014,6,1,5,0,0
609,94028,2014,0,0,0,0,0
610,91381,2014,0,0,0,0,0
611,91024,2014,0,0,0,0,0
612,91040,2014,0,0,0,0,0
613,95468,2014,0,0,0,0,0
614,93309,2014,0,0,0,0,0
615,92277,2014,0,0,0,0,0
616,92392,2014,1,0,1,0,0
617,91978,2014,0,0,0,0,0
618,92021,2014,0,0,0,0,0
619,90278,2014,1,1,0,0,0
620,91754,2014,1,1,0,0,0
621,95054,2014,3,2,0,0,1
622,94566,2014,0,0,0,0,0
623,92127,2014,4,4,0,0,0
624,92561,2014,0,0,0,0,0
625,90601,2014,6,6,0,0,0
626,95981,2014,0,0,0,0,0
627,92084,2014,1,0,0,0,1
628,93924,2014,0,0,0,0,0
629,91361,2014,1,0,0,0,1
630,92376,2014,10,7,1,0,2
631,90040,2014,18,15,2,0,1
632,93591,2014,0,0,0,0,0
633,90038,2014,3,1,0,0,2
634,90630,2014,4,3,0,0,1
635,92802,2014,0,0,0,0,0
636,92808,2014,0,0,0,0,0
637,92113,2014,0,0,0,0,0
638,94903,2014,0,0,0,0,0
639,93066,2014,0,0,0,0,0
640,91205,2014,0,0,0,0,0
641,92129,2014,0,0,0,0,0
642,90211,2014,0,0,0,0,0
643,94613,2014,0,0,0,0,0
644,96025,2014,0,0,0,0,0
645,91914,2014,1,1,0,0,0
646,95526,2014,0,0,0,0,0
647,92843,2014,0,0,0,0,0
648,94520,2014,2,2,0,0,0
649,93110,2014,0,0,0,0,0
650,92869,2014,0,0,0,0,0
651,94539,2014,2,0,1,0,1
652,93206,2014,0,0,0,0,0
653,91206,2014,0,0,0,0,0
654,93422,2014,0,0,0,0,0
655,94130,2014,0,0,0,0,0
656,93543,2014,0,0,0,0,0
657,94610,2014,0,0,0,0,0
658,91913,2014,0,0,0,0,0
659,91411,2014,0,0,0,0,0
660,91008,2014,0,0,0,0,0
661,94019,2014,0,0,0,0,0
662,96097,2014,0,0,0,0,0
663,93555,2014,0,0,0,0,0
664,95206,2014,15,12,2,0,1
665,90501,2014,6,6,0,0,0
666,94306,2014,0,0,0,0,0
667,93648,2014,0,0,0,0,0
668,90305,2014,0,0,0,0,0
669,94941,2014,0,0,0,0,0
670,91326,2014,0,0,0,0,0
671,91733,2014,2,2,0,0,0
672,90232,2014,1,1,0,0,0
673,90605,2014,1,1,0,0,0
674,95311,2014,0,0,0,0,0
675,92399,2014,0,0,0,0,0
676,95030,2014,0,0,0,0,0
677,92782,2014,0,0,0,0,0
678,90007,2014,0,0,0,0,0
679,95608,2014,3,3,0,0,0
680,93730,2014,1,1,0,0,0
681,93453,2014,0,0,0,0,0
682,90026,2014,0,0,0,0,0
683,93644,2014,0,0,0,0,0
684,92065,2014,0,0,0,0,0
685,92116,2014,0,0,0,0,0
686,90606,2014,0,0,0,0,0
687,93616,2014,1,1,0,0,0
688,94546,2014,1,0,0,0,1
689,95118,2014,0,0,0,0,0
690,93241,2014,0,0,0,0,0
691,91770,2014,2,2,0,0,0
692,92505,2014,2,2,0,0,0
693,91776,2014,0,0,0,0,0
694,93454,2014,2,1,1,0,0
695,92145,2014,0,0,0,0,0
696,91203,2014,0,0,0,0,0
697,91935,2014,0,0,0,0,0
698,96122,2014,0,0,0,0,0
699,93212,2014,2,0,0,2,0
700,93704,2014,0,0,0,0,0
701,94598,2014,0,0,0,0,0
702,92604,2014,0,0,0,0,0
703,93426,2014,0,0,0,0,0
704,92555,2014,1,1,0,0,0
705,92082,2014,0,0,0,0,0
706,95360,2014,0,0,0,0,0
707,92395,2014,1,1,0,0,0
708,95641,2014,0,0,0,0,0
709,95811,2014,2,1,1,0,0
710,94519,2014,0,0,0,0,0
711,95912,2014,0,0,0,0,0
712,94949,2014,1,0,0,0,1
713,94065,2014,0,0,0,0,0
714,95320,2014,1,0,0,1,0
715,95231,2014,1,1,0,0,0
716,92225,2014,0,0,0,0,0
717,94062,2014,0,0,0,0,0
718,94515,2014,0,0,0,0,0
719,95824,2014,1,0,0,0,1
