,zip,year,est total,est gen,est cold,est farm,est other
742,91343,2012,0,0,0,0,0
743,95835,2012,1,1,0,0,0
744,95119,2012,0,0,0,0,0
745,92841,2012,3,2,0,0,1
746,90044,2012,0,0,0,0,0
747,95120,2012,1,0,0,0,1
748,94551,2012,2,1,1,0,0
749,92374,2012,11,10,0,0,1
750,93234,2012,0,0,0,0,0
751,94590,2012,0,0,0,0,0
752,93036,2012,0,0,0,0,0
753,91335,2012,1,1,0,0,0
754,92106,2012,0,0,0,0,0
755,93933,2012,2,0,0,0,2
756,90221,2012,14,13,0,1,0
757,92136,2012,0,0,0,0,0
758,94112,2012,1,1,0,0,0
759,95453,2012,0,0,0,0,0
760,90071,2012,0,0,0,0,0
761,94105,2012,0,0,0,0,0
762,90505,2012,2,2,0,0,0
763,93930,2012,1,0,1,0,0
764,92274,2012,0,0,0,0,0
765,92056,2012,0,0,0,0,0
766,91104,2012,0,0,0,0,0
767,94526,2012,2,2,0,0,0
768,91916,2012,0,0,0,0,0
769,90016,2012,0,0,0,0,0
770,92363,2012,0,0,0,0,0
