zip,year,est total,est gen,est cold,est farm,est other
92692,2019,0,0,0,0,0
94803,2019,0,0,0,0,0
95453,2019,0,0,0,0,0
90069,2019,0,0,0,0,0
91355,2019,10,8,0,0,0
93524,2019,0,0,0,0,0
95963,2019,0,0,0,0,0
94703,2019,0,0,0,0,0
93065,2019,3,0,0,0,0
94035,2019,0,0,0,0,0
92285,2019,0,0,0,0,0
91741,2019,0,0,0,0,0
92563,2019,0,0,0,0,0
92083,2019,0,0,0,0,0
92116,2019,0,0,0,0,0
93543,2019,0,0,0,0,0
92305,2019,0,0,0,0,0
92592,2019,0,0,0,0,0
93925,2019,0,0,0,0,0
92126,2019,0,0,0,0,0
92004,2019,0,0,0,0,0
95425,2019,0,0,0,0,0
92277,2019,0,0,0,0,0
95437,2019,0,0,0,0,0
92308,2019,0,0,0,0,0
94931,2019,0,0,0,0,0
92262,2019,0,0,0,0,0
95939,2019,0,0,0,0,0
92663,2019,0,0,0,0,0
93924,2019,0,0,0,0,0
93446,2019,0,0,0,0,0
92284,2019,0,0,0,0,0
90815,2019,0,0,0,0,0
90603,2019,0,0,0,0,0
95448,2019,0,0,0,0,0
92256,2019,0,0,0,0,0
92648,2019,0,0,0,0,0
95117,2019,0,0,0,0,0
90713,2019,0,0,0,0,0
95642,2019,0,0,0,0,0
91902,2019,0,0,0,0,0
94112,2019,0,0,0,0,0
95054,2019,5,4,0,0,0
92835,2019,5,4,0,0,0
94025,2019,3,3,0,0,0
95237,2019,0,0,0,0,0
93271,2019,0,0,0,0,0
92587,2019,0,0,0,0,0
91941,2019,0,0,0,0,0
91208,2019,0,0,0,0,0
95969,2019,0,0,0,0,0
92382,2019,0,0,0,0,0
95252,2019,0,0,0,0,0
92117,2019,0,0,0,0,0
